date,county,fips,doses_administered,new_doses_administered
3/2/2021,Alameda,1,430647,12624
3/2/2021,Alpine,3,541,33
3/2/2021,Amador,5,10177,99
3/2/2021,Butte,7,57402,846
3/2/2021,Calaveras,9,10730,105
3/2/2021,Colusa,11,3380,36
3/2/2021,Contra Costa,13,329137,7468
3/2/2021,Del Norte,15,3716,77
3/2/2021,El Dorado,17,45514,1296
3/2/2021,Fresno,19,181556,5764
3/2/2021,Glenn,21,5556,25
3/2/2021,Humboldt,23,31951,175
3/2/2021,Imperial,25,28390,607
3/2/2021,Inyo,27,5799,24
3/2/2021,Kern,29,135625,4234
3/2/2021,Kings,31,14719,332
3/2/2021,Lake,33,13594,213
3/2/2021,Lassen,35,4181,128
3/2/2021,Los Angeles,37,2251182,51198
3/2/2021,Madera,39,27185,377
3/2/2021,Marin,41,91054,2160
3/2/2021,Mariposa,43,2696,60
3/2/2021,Mendocino,45,30360,1057
3/2/2021,Merced,47,38038,1647
3/2/2021,Modoc,49,2457,6
3/2/2021,Mono,51,7859,9
3/2/2021,Monterey,53,76826,2475
3/2/2021,Napa,55,48878,1179
3/2/2021,Nevada,57,24784,586
3/2/2021,Orange,59,775368,16109
3/2/2021,Placer,61,116291,2095
3/2/2021,Plumas,63,3889,9
3/2/2021,Riverside,65,478882,11978
3/2/2021,Sacramento,67,312009,7003
3/2/2021,San Benito,69,9371,300
3/2/2021,San Bernardino,71,374438,7048
3/2/2021,San Diego,73,943234,19084
3/2/2021,San Francisco,75,245057,9428
3/2/2021,San Joaquin,77,124349,4189
3/2/2021,San Luis Obispo,79,69202,2160
3/2/2021,San Mateo,81,228195,5907
3/2/2021,Santa Barbara,83,96948,1695
3/2/2021,Santa Clara,85,455403,12234
3/2/2021,Santa Cruz,87,86547,1738
3/2/2021,Shasta,89,31741,1406
3/2/2021,Sierra,91,1189,2
3/2/2021,Siskiyou,93,10832,303
3/2/2021,Solano,95,94552,1862
3/2/2021,Sonoma,97,151949,4211
3/2/2021,Stanislaus,99,94502,3544
3/2/2021,Sutter,101,20098,182
3/2/2021,Tehama,103,9540,74
3/2/2021,Trinity,105,2013,6
3/2/2021,Tulare,107,75450,1802
3/2/2021,Tuolumne,109,15444,186
3/2/2021,Ventura,111,207768,7752
3/2/2021,Yolo,113,56793,962
3/2/2021,Yuba,115,9948,95
3/1/2021,Alameda,1,418023,15310
3/1/2021,Alpine,3,508,24
3/1/2021,Amador,5,10078,557
3/1/2021,Butte,7,56556,379
3/1/2021,Calaveras,9,10625,-128
3/1/2021,Colusa,11,3344,96
3/1/2021,Contra Costa,13,321669,6575
3/1/2021,Del Norte,15,3639,146
3/1/2021,El Dorado,17,44218,2186
3/1/2021,Fresno,19,175792,-7168
3/1/2021,Glenn,21,5531,160
3/1/2021,Humboldt,23,31776,1016
3/1/2021,Imperial,25,27783,673
3/1/2021,Inyo,27,5775,1567
3/1/2021,Kern,29,131391,4449
3/1/2021,Kings,31,14387,740
3/1/2021,Lake,33,13381,737
3/1/2021,Lassen,35,4053,70
3/1/2021,Los Angeles,37,2199984,73598
3/1/2021,Madera,39,26808,-186
3/1/2021,Marin,41,88894,4385
3/1/2021,Mariposa,43,2636,195
3/1/2021,Mendocino,45,29303,865
3/1/2021,Merced,47,36391,1057
3/1/2021,Modoc,49,2451,340
3/1/2021,Mono,51,7850,72
3/1/2021,Monterey,53,74351,2121
3/1/2021,Napa,55,47699,1865
3/1/2021,Nevada,57,24198,764
3/1/2021,Orange,59,759259,32419
3/1/2021,Placer,61,114196,4380
3/1/2021,Plumas,63,3880,526
