zipcode,provider,address,phone
92602,Rite Aid,"13151 Jamboree Rd
Tustin, CA 92782",714-573-0908
92603,SAV-ON PHARMACY,"4541 Campus Dr
Irvine, CA 92612",949-854-8280
92603,Rite Aid,"18112 Culver Dr
Irvine, CA 92612",949-786-0151
92604,ApoThera,"45 Post Suite B
Irvine, CA 92618",949-387-7711
92606,Walmart Inc,"16555 Von Karman Ave
Irvine, CA 92606",949-623-7467
92612,SAV-ON PHARMACY,"4541 Campus Dr
Irvine, CA 92612",949-854-8280
92614,Walmart Inc,"16555 Von Karman Ave
Irvine, CA 92606",949-623-7467
92616,Rite Aid,"3875 Alton Pkwy
Irvine, CA 92606",949-250-4465
92618,ApoThera,"45 Post Suite B
Irvine, CA 92618",949-387-7711
92619,ApoThera,"46 Post Suite B
Irvine, CA 92618",949-387-7711
92620,"CVS Pharmacy, Inc","14330 Culver Dr
Irvine, CA 92604",949-559-8129
92623,Rite Aid,"3875 Alton Pkwy
Irvine, CA 92606",949-250-4465
92697,SAV-ON PHARMACY,"4541 Campus Dr
Irvine, CA 92612",949-854-8280
